id,chars,radicals,pred_index,gold_index,correct
odd:0,岸/油/岩,山/氵/山,1,1,1
odd:1,吐/听/焦,口/口/火,2,2,1
odd:2,想/婚/妹,心/女/女,1,0,0
odd:3,火/怒/灯,火/心/火,1,1,1
odd:4,咬/海/注,口/氵/氵,0,0,1
odd:5,烟/炮/好,火/火/女,2,2,1
odd:6,岸/峡/急,山/山/心,2,2,1
odd:7,愁/岸/峡,心/山/山,0,0,1
odd:8,妹/湖/泽,女/氵/氵,0,0,1
odd:9,妻/时/婆,女/日/女,1,1,1
odd:10,晴/早/信,日/日/人,1,2,0
odd:11,棵/林/休,木/木/人,2,2,1
odd:12,妻/桌/女,女/木/女,1,1,1
odd:13,泪/任/位,氵/人/人,0,0,1
odd:14,姓/姐/嘴,女/女/口,2,2,1
odd:15,春/怀/怒,日/心/心,1,0,0
odd:16,好/姑/忠,女/女/心,2,2,1
odd:17,松/吸/检,木/口/木,1,1,1
odd:18,泽/晨/浪,氵/日/氵,1,1,1
odd:19,树/姑/检,木/女/木,1,1,1
odd:20,岩/泡/河,山/氵/氵,0,0,1
odd:21,思/油/流,心/氵/氵,0,0,1
odd:22,湖/棵/柳,氵/木/木,1,0,0
odd:23,柜/烧/柳,木/火/木,1,1,1
odd:24,晒/渡/日,日/氵/日,1,1,1
odd:25,吸/叫/山,口/口/山,2,2,1
odd:26,姐/江/泪,女/氵/氵,0,0,1
odd:27,思/林/忙,心/木/心,0,1,0
odd:28,晒/明/炼,日/日/火,2,2,1
odd:29,时/椅/明,日/木/日,1,1,1
odd:30,恭/吐/怒,心/口/心,1,1,1
odd:31,桶/吃/哭,木/口/口,0,0,1
odd:32,日/晕/忠,日/日/心,2,2,1
odd:33,河/焦/火,氵/火/火,0,0,1
odd:34,岳/嘴/岭,山/口/山,1,1,1
odd:35,件/体/急,人/人/心,2,2,1
odd:36,松/住/林,木/人/木,1,1,1
odd:37,湖/吻/油,氵/口/氵,1,1,1
odd:38,流/体/海,氵/人/氵,1,1,1
odd:39,份/峰/住,人/山/人,1,1,1
odd:40,早/星/人,日/日/人,2,2,1
odd:41,晨/烧/炮,日/火/火,0,0,1
odd:42,焦/炒/作,火/火/人,2,2,1
odd:43,任/岸/信,人/山/人,1,1,1
odd:44,听/做/叫,口/人/口,1,1,1
odd:45,灯/妹/烧,火/女/火,1,1,1
odd:46,渡/好/泉,氵/女/氵,0,1,0
odd:47,叫/休/吻,口/人/口,1,1,1
odd:48,妈/愁/恨,女/心/心,0,0,1
odd:49,妻/喝/妈,女/口/女,1,1,1
odd:50,椅/信/楼,木/人/木,1,1,1
odd:51,恨/急/湖,心/心/氵,2,2,1
odd:52,晒/火/晕,日/火/日,1,1,1
odd:53,岭/岩/怀,山/山/心,2,2,1
odd:54,恭/喝/口,心/口/口,0,0,1
odd:55,他/呼/口,人/口/口,0,0,1
odd:56,份/检/作,人/木/人,1,1,1
odd:57,春/泉/晒,日/氵/日,1,1,1
odd:58,女/炼/姓,女/火/女,1,1,1
odd:59,你/桶/做,人/木/人,1,1,1
odd:60,份/注/人,人/氵/人,2,1,0
odd:61,森/明/柳,木/日/木,0,1,0
odd:62,晴/晒/件,日/日/人,2,2,1
odd:63,吻/呼/峰,口/口/山,2,2,1
odd:64,婚/怒/姓,女/心/女,1,1,1
odd:65,做/泡/浦,人/氵/氵,0,0,1
odd:66,急/浪/泪,心/氵/氵,0,0,1
odd:67,桌/柜/烤,木/木/火,2,2,1
odd:68,怒/峭/怀,心/山/心,1,1,1
odd:69,婆/柜/桶,女/木/木,0,0,1
odd:70,怒/代/恨,心/人/心,1,1,1
odd:71,信/江/件,人/氵/人,1,1,1
odd:72,油/灯/炒,氵/火/火,1,0,0
odd:73,信/姑/体,人/女/人,1,1,1
odd:74,灯/愁/烟,火/心/火,1,1,1
odd:75,姑/桥/棵,女/木/木,0,0,1
odd:76,渡/炮/炼,氵/火/火,0,0,1
odd:77,岳/星/山,山/日/山,1,1,1
odd:78,唱/柜/叫,口/木/口,1,1,1
odd:79,晚/忘/恨,日/心/心,0,0,1
