id,char_a,char_b,radical_a,radical_b,same_radical,freq_a,freq_b,first_token_a,first_token_b,same_token,pred_yes,gold_yes,correct
sim:0,峻,柳,山,木,0,4200,2500,161,162,0,0,0,1
sim:1,油,峻,氵,山,0,500,4200,31106,161,0,0,0,1
sim:2,岗,妹,山,女,0,2700,1400,58699,161,0,0,0,1
sim:3,日,星,日,日,1,100,1000,9080,78519,0,1,1,1
sim:4,河,泽,氵,氵,1,800,2400,31106,14888,0,1,1,1
sim:5,岳,峡,山,山,1,3100,2900,58699,161,0,0,1,0
sim:6,海,池,氵,氵,1,300,1700,56235,21980,0,1,1,1
sim:7,早,晴,日,日,1,400,2200,6079,45114,0,0,1,0
sim:8,吃,份,口,人,0,700,1000,7305,70542,0,0,0,1
sim:9,想,恭,心,心,1,300,3200,33565,21555,0,0,1,0
sim:10,听,唱,口,口,1,500,1200,50287,84150,0,0,1,0
sim:11,叫,代,口,人,0,800,550,5877,31640,0,0,0,1
sim:12,吐,吸,口,口,1,1900,1700,7305,7305,1,1,1,1
sim:13,柳,柜,木,木,1,2500,2700,162,76475,0,0,1,0
sim:14,愁,唱,心,口,0,2400,1200,31374,84150,0,0,0,1
sim:15,江,忘,氵,心,0,600,1500,70277,26203,0,0,0,1
sim:16,姐,妻,女,女,1,1300,1500,21589,161,0,0,1,0
sim:17,早,晨,日,日,1,400,2300,6079,162,0,1,1,1
sim:18,椅,柜,木,木,1,2300,2700,162,76475,0,0,1,0
sim:19,林,桌,木,木,1,900,1700,20119,44559,0,0,1,0
sim:20,松,日,木,日,0,1400,100,14276,9080,0,0,0,1
sim:21,浪,怀,氵,心,0,1600,1800,27699,17486,0,0,0,1
sim:22,叫,吸,口,口,1,800,1700,5877,7305,0,0,1,0
sim:23,口,好,口,女,0,300,100,40526,53901,0,0,0,1
sim:24,炮,听,火,口,0,1800,500,163,50287,0,0,0,1
sim:25,心,忘,心,心,1,150,1500,64209,26203,0,1,1,1
sim:26,湖,嘴,氵,口,0,1500,1300,85300,161,0,0,0,1
sim:27,时,晚,日,日,1,150,900,13646,45114,0,1,1,1
sim:28,泉,楼,氵,木,0,2800,950,14888,61964,0,0,0,1
sim:29,想,怀,心,心,1,300,1800,33565,17486,0,1,1,1
sim:30,份,晨,人,日,0,1000,2300,70542,162,0,0,0,1
sim:31,河,妻,氵,女,0,800,1500,31106,161,0,0,0,1
sim:32,岳,岗,山,山,1,3100,2700,58699,58699,1,0,1,0
sim:33,炮,恨,火,心,0,1800,1600,163,21555,0,0,0,1
sim:34,湖,信,氵,人,0,1500,350,85300,22023,0,0,0,1
sim:35,棵,日,木,日,0,2100,100,77062,9080,0,0,0,1
sim:36,姐,日,女,日,0,1300,100,21589,9080,0,0,0,1
sim:37,早,晚,日,日,1,400,900,6079,45114,0,0,1,0
sim:38,江,柜,氵,木,0,600,2700,70277,76475,0,0,0,1
sim:39,妈,婆,女,女,1,800,2100,161,161,1,1,1,1
sim:40,林,板,木,木,1,900,1100,20119,88631,0,0,1,0
sim:41,山,桶,山,木,0,200,3000,58911,44559,0,0,0,1
sim:42,森,炒,木,火,0,1800,1900,77062,163,0,0,0,1
sim:43,海,泪,氵,氵,1,300,2200,56235,14888,0,0,1,0
sim:44,松,桶,木,木,1,1400,3000,14276,44559,0,0,1,0
